country,operator_id,public_code,identifier_type,mac,name,longitude,latitude
NL,NS,ah,BSSID,00:08:30:BB:B3:62,KPN,,
NL,NS,ah,BSSID,00:08:30:BB:CB:62,KPN,,
NL,NS,asdsd,BSSID,00:14:A9:75:46:50,KPN,,
NL,NS,dt,BSSID,6C:FA:89:05:6B:00,KPN,,
NL,NS,dt,BSSID,6C:FA:89:90:6E:FF,KPN,,
NL,NS,gd,BSSID,00:15:FA:14:36:50,KPN,,
NL,NS,gv,BSSID,00:18:B9:2A:AB:30,KPN,,
NL,NS,gvc,BSSID,0C:85:25:F3:AC:91,KPN,,
NL,NS,ld,BSSID,00:14:1C:F0:9E:40,KPN,,
NL,NS,ld,BSSID,00:16:9D:44:CD:10,KPN,,
NL,NS,lls,BSSID,00:13:C3:E1:6E:C0,KPN,, 
NL,NS,nm,BSSID,00:24:C4:3A:73:F1,KPN,,
NL,NS,nm,BSSID,00:15:63:80:46:51,KPN,,
NL,NS,rm,BSSID,00:14:F2:7E:84:D0,KPN,,
NL,NS,rtd,BSSID,84:B2:61:96:5C:81,KPN,,
NL,NS,shl,BSSID,00:15:F9:CB:78:10,KPN,,
NL,NS,ut,BSSID,20:3A:07:39:77:D0,KPN,,
NL,NS,ut,BSSID,D8:B1:90:3F:30:E0,KPN,,
NL,NS,vl,BSSID,58:97:BD:61:FD:80,KPN,,
NL,HTM,NL:S:31008721,BSSID,E0:10:7F:13:BC:68,HTM HALTE Wifi,,
NL,HTM,NL:S:31008721,BSSID,1C:B9:C4:2E:2B:2C,HTM HALTE Wifi,,
